Student,SUB_1,SUB_2,SUB_3,SUB_4,SUB_5,SUB_6,SUB_7,SUB_8,SUB_9,SUB_10,USUB_1,USUB_2,USUB_3,USUB_4,USUB_5,USUB_6,USUB_7,USUB_8,USUB_9,USUB_10,SGD_1,SGD_2,SGD_3,SGD_4,SGD_5,SGD_6,SGD_7,SGD_8,SGD_9,SGD_10
20,Living in the IT Era,Differential Calculus,Art Appreciation,Technopreneurship,Data Structures & Algorithms,Parallel & Distributed Computing,Readings in Philippine History,Basic Grammar & Writing Composition (Nihongo),Physical Education 3,Discrete Structures,2,3,1,2,3,3,1,2,2,3,97,79,85,92,98,93,76,93,92,89
21,Ethics,Physical Education 3,Readings in Philippine History,Data Structures & Algorithms,Discrete Structures,Essentials of Catholic Faith & Life,Differential Calculus,Life & Works of Rizal,Basic Grammar & Writing Composition (Nihongo),Technopreneurship,2,2,1,3,3,1,3,1,2,2,76,96,100,83,88,96,88,100,71,76
22,Physical Education 3,Parallel & Distributed Computing,Discrete Structures,Basic Grammar & Writing Composition (Nihongo),Life & Works of Rizal,Ethics,Essentials of Catholic Faith & Life,Readings in Philippine History,Understanding the Self,Art Appreciation,2,3,3,2,1,2,1,1,1,1,76,75,88,84,80,93,85,87,100,79
23,Readings in Philippine History,Essentials of Catholic Faith & Life,Living in the IT Era,Physical Education 3,Parallel & Distributed Computing,Life & Works of Rizal,Understanding the Self,Discrete Structures,Technopreneurship,Basic Grammar & Writing Composition (Nihongo),1,1,2,2,3,1,1,3,2,2,89,72,74,75,86,90,89,89,76,92
24,Technopreneurship,Ethics,Living in the IT Era,Readings in Philippine History,Parallel & Distributed Computing,Physical Education 3,Understanding the Self,Art Appreciation,Differential Calculus,Data Structures & Algorithms,2,2,2,1,3,2,1,1,3,3,76,100,99,89,85,89,91,92,96,77
25,Ethics,Data Structures & Algorithms,Readings in Philippine History,Computer Programming,Art Appreciation,Basic Grammar & Writing Composition (Nihongo),Living in the IT Era,Parallel & Distributed Computing,Discrete Structures,Life & Works of Rizal,2,3,1,3,1,2,2,3,3,1,80,72,90,93,81,71,84,95,94,78
26,Technopreneurship,Physical Education 3,Ethics,Living in the IT Era,Essentials of Catholic Faith & Life,Computer Programming,Differential Calculus,Parallel & Distributed Computing,Discrete Structures,Understanding the Self,2,2,2,2,1,3,3,3,3,1,78,87,76,71,98,98,80,79,89,84
27,Parallel & Distributed Computing,Discrete Structures,Life & Works of Rizal,Physical Education 3,Understanding the Self,Computer Programming,Ethics,Readings in Philippine History,Differential Calculus,Essentials of Catholic Faith & Life,3,3,1,2,1,3,2,1,3,1,97,88,80,94,74,92,94,98,98,87
28,Art Appreciation,Differential Calculus,Technopreneurship,Life & Works of Rizal,Discrete Structures,Readings in Philippine History,Basic Grammar & Writing Composition (Nihongo),Data Structures & Algorithms,Ethics,Understanding the Self,1,3,2,1,3,1,2,3,2,1,84,87,84,82,78,71,93,84,73,86
29,Data Structures & Algorithms,Understanding the Self,Basic Grammar & Writing Composition (Nihongo),Readings in Philippine History,Technopreneurship,Life & Works of Rizal,Essentials of Catholic Faith & Life,Art Appreciation,Living in the IT Era,Differential Calculus,3,1,2,1,2,1,1,1,2,3,77,75,75,99,71,86,86,96,88,90
30,Discrete Structures,Computer Programming,Ethics,Living in the IT Era,Parallel & Distributed Computing,Readings in Philippine History,Differential Calculus,Basic Grammar & Writing Composition (Nihongo),Data Structures & Algorithms,Physical Education 3,3,3,2,2,3,1,3,2,3,2,91,89,97,78,84,97,75,89,83,87
31,Art Appreciation,Discrete Structures,Parallel & Distributed Computing,Life & Works of Rizal,Computer Programming,Differential Calculus,Essentials of Catholic Faith & Life,Readings in Philippine History,Data Structures & Algorithms,Ethics,1,3,3,1,3,3,1,1,3,2,72,89,78,100,96,88,88,83,76,97
32,Computer Programming,Understanding the Self,Physical Education 3,Living in the IT Era,Parallel & Distributed Computing,Discrete Structures,Readings in Philippine History,Data Structures & Algorithms,Essentials of Catholic Faith & Life,Art Appreciation,3,1,2,2,3,3,1,3,1,1,87,86,81,78,95,78,89,99,100,85
33,Art Appreciation,Essentials of Catholic Faith & Life,Technopreneurship,Basic Grammar & Writing Composition (Nihongo),Discrete Structures,Data Structures & Algorithms,Life & Works of Rizal,Understanding the Self,Computer Programming,Differential Calculus,1,1,2,2,3,3,1,1,3,3,92,79,76,100,100,70,92,82,83,79
34,Understanding the Self,Life & Works of Rizal,Differential Calculus,Technopreneurship,Physical Education 3,Discrete Structures,Essentials of Catholic Faith & Life,Readings in Philippine History,Basic Grammar & Writing Composition (Nihongo),Computer Programming,1,1,3,2,2,3,1,1,2,3,99,89,99,83,91,74,96,82,76,72
35,Readings in Philippine History,Computer Programming,Physical Education 3,Technopreneurship,Ethics,Living in the IT Era,Life & Works of Rizal,Essentials of Catholic Faith & Life,Basic Grammar & Writing Composition (Nihongo),Data Structures & Algorithms,1,3,2,2,2,2,1,1,2,3,86,85,84,91,75,72,79,87,77,70
36,Parallel & Distributed Computing,Physical Education 3,Art Appreciation,Computer Programming,Discrete Structures,Readings in Philippine History,Life & Works of Rizal,Basic Grammar & Writing Composition (Nihongo),Differential Calculus,Understanding the Self,3,2,1,3,3,1,1,2,3,1,89,86,72,82,75,80,82,75,76,90
37,Differential Calculus,Physical Education 3,Life & Works of Rizal,Discrete Structures,Readings in Philippine History,Ethics,Parallel & Distributed Computing,Understanding the Self,Art Appreciation,Basic Grammar & Writing Composition (Nihongo),3,2,1,3,1,2,3,1,1,2,93,73,91,71,88,89,90,93,98,76
38,Differential Calculus,Art Appreciation,Life & Works of Rizal,Data Structures & Algorithms,Discrete Structures,Technopreneurship,Ethics,Physical Education 3,Parallel & Distributed Computing,Understanding the Self,3,1,1,3,3,2,2,2,3,1,74,77,97,92,70,91,98,84,74,73
39,Understanding the Self,Parallel & Distributed Computing,Technopreneurship,Essentials of Catholic Faith & Life,Basic Grammar & Writing Composition (Nihongo),Life & Works of Rizal,Data Structures & Algorithms,Living in the IT Era,Readings in Philippine History,Physical Education 3,1,3,2,1,2,1,3,2,1,2,76,87,86,74,98,96,79,74,86,72
40,Readings in Philippine History,Physical Education 3,Parallel & Distributed Computing,Data Structures & Algorithms,Discrete Structures,Life & Works of Rizal,Differential Calculus,Basic Grammar & Writing Composition (Nihongo),Technopreneurship,Essentials of Catholic Faith & Life,1,2,3,3,3,1,3,2,2,1,84,76,86,80,81,94,90,99,78,84
41,Understanding the Self,Differential Calculus,Technopreneurship,Art Appreciation,Physical Education 3,Life & Works of Rizal,Living in the IT Era,Discrete Structures,Computer Programming,Parallel & Distributed Computing,1,3,2,1,2,1,2,3,3,3,81,99,97,88,80,77,76,100,82,92
42,Computer Programming,Ethics,Physical Education 3,Data Structures & Algorithms,Art Appreciation,Life & Works of Rizal,Discrete Structures,Living in the IT Era,Differential Calculus,Technopreneurship,3,2,2,3,1,1,3,2,3,2,85,92,79,93,96,99,88,90,71,70
43,Understanding the Self,Discrete Structures,Data Structures & Algorithms,Basic Grammar & Writing Composition (Nihongo),Art Appreciation,Parallel & Distributed Computing,Computer Programming,Physical Education 3,Essentials of Catholic Faith & Life,Living in the IT Era,1,3,3,2,1,3,3,2,1,2,92,88,98,79,91,72,95,82,82,87
44,Parallel & Distributed Computing,Living in the IT Era,Technopreneurship,Life & Works of Rizal,Computer Programming,Data Structures & Algorithms,Readings in Philippine History,Differential Calculus,Essentials of Catholic Faith & Life,Art Appreciation,3,2,2,1,3,3,1,3,1,1,90,91,90,92,82,71,75,72,92,70
45,Readings in Philippine History,Data Structures & Algorithms,Computer Programming,Differential Calculus,Discrete Structures,Understanding the Self,Physical Education 3,Basic Grammar & Writing Composition (Nihongo),Technopreneurship,Living in the IT Era,1,3,3,3,3,1,2,2,2,2,71,91,94,90,89,98,80,84,84,94
46,Living in the IT Era,Physical Education 3,Discrete Structures,Understanding the Self,Basic Grammar & Writing Composition (Nihongo),Differential Calculus,Technopreneurship,Data Structures & Algorithms,Parallel & Distributed Computing,Ethics,2,2,3,1,2,3,2,3,3,2,84,91,90,93,80,89,90,73,95,76
47,Data Structures & Algorithms,Living in the IT Era,Technopreneurship,Life & Works of Rizal,Ethics,Basic Grammar & Writing Composition (Nihongo),Readings in Philippine History,Parallel & Distributed Computing,Differential Calculus,Essentials of Catholic Faith & Life,3,2,2,1,2,2,1,3,3,1,98,88,95,99,94,85,79,79,80,95
48,Art Appreciation,Essentials of Catholic Faith & Life,Computer Programming,Parallel & Distributed Computing,Physical Education 3,Data Structures & Algorithms,Understanding the Self,Discrete Structures,Technopreneurship,Living in the IT Era,1,1,3,3,2,3,1,3,2,2,78,86,83,76,90,94,84,89,91,89
49,Technopreneurship,Art Appreciation,Discrete Structures,Parallel & Distributed Computing,Data Structures & Algorithms,Physical Education 3,Basic Grammar & Writing Composition (Nihongo),Readings in Philippine History,Understanding the Self,Life & Works of Rizal,2,1,3,3,3,2,2,1,1,1,76,70,76,100,91,85,86,80,92,79
50,Art Appreciation,Basic Grammar & Writing Composition (Nihongo),Physical Education 3,Understanding the Self,Parallel & Distributed Computing,Differential Calculus,Computer Programming,Essentials of Catholic Faith & Life,Data Structures & Algorithms,Technopreneurship,1,2,2,1,3,3,3,1,3,2,85,96,91,91,90,91,72,100,70,77
51,Understanding the Self,Parallel & Distributed Computing,Differential Calculus,Readings in Philippine History,Art Appreciation,Discrete Structures,Technopreneurship,Life & Works of Rizal,Ethics,Basic Grammar & Writing Composition (Nihongo),1,3,3,1,1,3,2,1,2,2,77,97,82,97,94,79,84,81,96,76
52,Differential Calculus,Physical Education 3,Life & Works of Rizal,Discrete Structures,Ethics,Data Structures & Algorithms,Understanding the Self,Basic Grammar & Writing Composition (Nihongo),Essentials of Catholic Faith & Life,Readings in Philippine History,3,2,1,3,2,3,1,2,1,1,82,96,80,90,82,99,79,81,98,82
53,Life & Works of Rizal,Computer Programming,Readings in Philippine History,Discrete Structures,Physical Education 3,Art Appreciation,Parallel & Distributed Computing,Differential Calculus,Technopreneurship,Ethics,1,3,1,3,2,1,3,3,2,2,87,90,98,81,83,90,74,94,98,98
54,Life & Works of Rizal,Living in the IT Era,Understanding the Self,Readings in Philippine History,Parallel & Distributed Computing,Technopreneurship,Physical Education 3,Essentials of Catholic Faith & Life,Data Structures & Algorithms,Basic Grammar & Writing Composition (Nihongo),1,2,1,1,3,2,2,1,3,2,83,82,84,98,89,87,87,80,70,72
55,Parallel & Distributed Computing,Living in the IT Era,Art Appreciation,Data Structures & Algorithms,Essentials of Catholic Faith & Life,Discrete Structures,Physical Education 3,Ethics,Differential Calculus,Basic Grammar & Writing Composition (Nihongo),3,2,1,3,1,3,2,2,3,2,81,74,81,81,79,83,81,97,98,77
56,Life & Works of Rizal,Basic Grammar & Writing Composition (Nihongo),Understanding the Self,Physical Education 3,Data Structures & Algorithms,Discrete Structures,Parallel & Distributed Computing,Art Appreciation,Computer Programming,Essentials of Catholic Faith & Life,1,2,1,2,3,3,3,1,3,1,86,84,95,93,75,91,87,91,81,91
57,Essentials of Catholic Faith & Life,Parallel & Distributed Computing,Differential Calculus,Life & Works of Rizal,Physical Education 3,Technopreneurship,Discrete Structures,Data Structures & Algorithms,Basic Grammar & Writing Composition (Nihongo),Ethics,1,3,3,1,2,2,3,3,2,2,82,85,93,100,71,95,87,99,100,95
58,Living in the IT Era,Basic Grammar & Writing Composition (Nihongo),Readings in Philippine History,Differential Calculus,Ethics,Understanding the Self,Essentials of Catholic Faith & Life,Physical Education 3,Discrete Structures,Computer Programming,2,2,1,3,2,1,1,2,3,3,98,83,76,79,96,94,93,91,91,77
59,Technopreneurship,Life & Works of Rizal,Understanding the Self,Data Structures & Algorithms,Differential Calculus,Discrete Structures,Essentials of Catholic Faith & Life,Basic Grammar & Writing Composition (Nihongo),Computer Programming,Parallel & Distributed Computing,2,1,1,3,3,3,1,2,3,3,92,73,74,79,70,99,95,87,79,88
60,Computer Programming,Ethics,Technopreneurship,Living in the IT Era,Art Appreciation,Understanding the Self,Discrete Structures,Differential Calculus,Data Structures & Algorithms,Basic Grammar & Writing Composition (Nihongo),3,2,2,2,1,1,3,3,3,2,81,92,85,95,74,87,84,81,100,79
61,Discrete Structures,Readings in Philippine History,Essentials of Catholic Faith & Life,Physical Education 3,Technopreneurship,Parallel & Distributed Computing,Living in the IT Era,Basic Grammar & Writing Composition (Nihongo),Understanding the Self,Life & Works of Rizal,3,1,1,2,2,3,2,2,1,1,96,92,70,93,94,87,97,87,72,88
62,Computer Programming,Data Structures & Algorithms,Readings in Philippine History,Essentials of Catholic Faith & Life,Discrete Structures,Parallel & Distributed Computing,Differential Calculus,Understanding the Self,Art Appreciation,Life & Works of Rizal,3,3,1,1,3,3,3,1,1,1,78,96,92,85,75,71,78,96,87,70
63,Essentials of Catholic Faith & Life,Life & Works of Rizal,Ethics,Basic Grammar & Writing Composition (Nihongo),Living in the IT Era,Discrete Structures,Data Structures & Algorithms,Differential Calculus,Parallel & Distributed Computing,Readings in Philippine History,1,1,2,2,2,3,3,3,3,1,82,82,74,71,93,78,82,78,72,83
64,Living in the IT Era,Technopreneurship,Parallel & Distributed Computing,Art Appreciation,Life & Works of Rizal,Ethics,Data Structures & Algorithms,Basic Grammar & Writing Composition (Nihongo),Essentials of Catholic Faith & Life,Understanding the Self,2,2,3,1,1,2,3,2,1,1,87,78,82,89,97,93,98,86,73,90
65,Physical Education 3,Living in the IT Era,Art Appreciation,Readings in Philippine History,Differential Calculus,Data Structures & Algorithms,Discrete Structures,Ethics,Parallel & Distributed Computing,Computer Programming,2,2,1,1,3,3,3,2,3,3,96,90,76,81,99,78,87,76,83,98
66,Differential Calculus,Living in the IT Era,Technopreneurship,Physical Education 3,Basic Grammar & Writing Composition (Nihongo),Parallel & Distributed Computing,Essentials of Catholic Faith & Life,Discrete Structures,Computer Programming,Data Structures & Algorithms,3,2,2,2,2,3,1,3,3,3,81,77,86,84,73,70,81,75,93,84
67,Discrete Structures,Parallel & Distributed Computing,Ethics,Technopreneurship,Data Structures & Algorithms,Physical Education 3,Computer Programming,Differential Calculus,Living in the IT Era,Life & Works of Rizal,3,3,2,2,3,2,3,3,2,1,76,88,88,74,92,71,76,92,97,70
68,Basic Grammar & Writing Composition (Nihongo),Essentials of Catholic Faith & Life,Art Appreciation,Discrete Structures,Ethics,Readings in Philippine History,Life & Works of Rizal,Differential Calculus,Computer Programming,Understanding the Self,2,1,1,3,2,1,1,3,3,1,88,86,83,74,96,95,86,92,87,95
69,Understanding the Self,Readings in Philippine History,Differential Calculus,Parallel & Distributed Computing,Physical Education 3,Ethics,Life & Works of Rizal,Essentials of Catholic Faith & Life,Discrete Structures,Technopreneurship,1,1,3,3,2,2,1,1,3,2,97,75,70,99,71,89,82,95,75,90
70,Life & Works of Rizal,Essentials of Catholic Faith & Life,Understanding the Self,Art Appreciation,Basic Grammar & Writing Composition (Nihongo),Technopreneurship,Parallel & Distributed Computing,Ethics,Living in the IT Era,Differential Calculus,1,1,1,1,2,2,3,2,2,3,84,82,77,73,94,96,81,88,97,86
71,Parallel & Distributed Computing,Differential Calculus,Data Structures & Algorithms,Physical Education 3,Readings in Philippine History,Basic Grammar & Writing Composition (Nihongo),Ethics,Living in the IT Era,Essentials of Catholic Faith & Life,Art Appreciation,3,3,3,2,1,2,2,2,1,1,73,95,76,88,83,91,89,93,76,91
72,Data Structures & Algorithms,Ethics,Discrete Structures,Differential Calculus,Technopreneurship,Basic Grammar & Writing Composition (Nihongo),Art Appreciation,Physical Education 3,Life & Works of Rizal,Living in the IT Era,3,2,3,3,2,2,1,2,1,2,79,87,81,94,86,76,87,97,72,77
73,Essentials of Catholic Faith & Life,Technopreneurship,Parallel & Distributed Computing,Ethics,Living in the IT Era,Computer Programming,Physical Education 3,Understanding the Self,Basic Grammar & Writing Composition (Nihongo),Readings in Philippine History,1,2,3,2,2,3,2,1,2,1,94,94,88,83,94,92,81,80,94,88
74,Computer Programming,Art Appreciation,Differential Calculus,Parallel & Distributed Computing,Essentials of Catholic Faith & Life,Basic Grammar & Writing Composition (Nihongo),Readings in Philippine History,Technopreneurship,Discrete Structures,Life & Works of Rizal,3,1,3,3,1,2,1,2,3,1,74,98,88,79,77,90,99,94,95,84
75,Art Appreciation,Readings in Philippine History,Parallel & Distributed Computing,Computer Programming,Understanding the Self,Discrete Structures,Living in the IT Era,Technopreneurship,Life & Works of Rizal,Essentials of Catholic Faith & Life,1,1,3,3,1,3,2,2,1,1,88,91,77,78,89,82,72,73,77,72
76,Differential Calculus,Life & Works of Rizal,Computer Programming,Understanding the Self,Ethics,Technopreneurship,Basic Grammar & Writing Composition (Nihongo),Discrete Structures,Art Appreciation,Living in the IT Era,3,1,3,1,2,2,2,3,1,2,75,93,100,99,91,76,89,73,87,78
77,Essentials of Catholic Faith & Life,Parallel & Distributed Computing,Living in the IT Era,Computer Programming,Life & Works of Rizal,Physical Education 3,Art Appreciation,Readings in Philippine History,Basic Grammar & Writing Composition (Nihongo),Technopreneurship,1,3,2,3,1,2,1,1,2,2,97,77,85,95,78,86,90,90,97,98
78,Discrete Structures,Data Structures & Algorithms,Essentials of Catholic Faith & Life,Life & Works of Rizal,Basic Grammar & Writing Composition (Nihongo),Parallel & Distributed Computing,Art Appreciation,Ethics,Understanding the Self,Differential Calculus,3,3,1,1,2,3,1,2,1,3,75,72,78,85,98,85,91,77,81,70
79,Basic Grammar & Writing Composition (Nihongo),Understanding the Self,Parallel & Distributed Computing,Data Structures & Algorithms,Essentials of Catholic Faith & Life,Readings in Philippine History,Computer Programming,Physical Education 3,Discrete Structures,Differential Calculus,2,1,3,3,1,1,3,2,3,3,74,79,73,93,91,81,97,84,75,92
80,Data Structures & Algorithms,Technopreneurship,Computer Programming,Parallel & Distributed Computing,Readings in Philippine History,Ethics,Discrete Structures,Living in the IT Era,Differential Calculus,Basic Grammar & Writing Composition (Nihongo),3,2,3,3,1,2,3,2,3,2,71,93,91,80,100,80,77,96,86,88
81,Readings in Philippine History,Physical Education 3,Basic Grammar & Writing Composition (Nihongo),Data Structures & Algorithms,Technopreneurship,Parallel & Distributed Computing,Essentials of Catholic Faith & Life,Understanding the Self,Discrete Structures,Differential Calculus,1,2,2,3,2,3,1,1,3,3,70,70,95,77,92,72,72,74,84,89
82,Differential Calculus,Technopreneurship,Discrete Structures,Physical Education 3,Parallel & Distributed Computing,Basic Grammar & Writing Composition (Nihongo),Art Appreciation,Readings in Philippine History,Living in the IT Era,Understanding the Self,3,2,3,2,3,2,1,1,2,1,77,73,79,95,100,83,90,100,84,90
83,Readings in Philippine History,Computer Programming,Living in the IT Era,Differential Calculus,Ethics,Discrete Structures,Understanding the Self,Data Structures & Algorithms,Essentials of Catholic Faith & Life,Physical Education 3,1,3,2,3,2,3,1,3,1,2,100,97,96,98,70,93,85,100,82,96
84,Essentials of Catholic Faith & Life,Art Appreciation,Data Structures & Algorithms,Differential Calculus,Basic Grammar & Writing Composition (Nihongo),Living in the IT Era,Understanding the Self,Parallel & Distributed Computing,Physical Education 3,Technopreneurship,1,1,3,3,2,2,1,3,2,2,77,80,86,94,91,94,95,82,90,93
85,Basic Grammar & Writing Composition (Nihongo),Differential Calculus,Essentials of Catholic Faith & Life,Living in the IT Era,Readings in Philippine History,Ethics,Data Structures & Algorithms,Understanding the Self,Discrete Structures,Technopreneurship,2,3,1,2,1,2,3,1,3,2,72,91,94,71,93,93,96,79,79,75
86,Readings in Philippine History,Understanding the Self,Art Appreciation,Basic Grammar & Writing Composition (Nihongo),Physical Education 3,Differential Calculus,Ethics,Parallel & Distributed Computing,Life & Works of Rizal,Data Structures & Algorithms,1,1,1,2,2,3,2,3,1,3,87,73,85,73,72,76,89,89,78,77
87,Art Appreciation,Readings in Philippine History,Computer Programming,Technopreneurship,Parallel & Distributed Computing,Life & Works of Rizal,Essentials of Catholic Faith & Life,Differential Calculus,Data Structures & Algorithms,Basic Grammar & Writing Composition (Nihongo),1,1,3,2,3,1,1,3,3,2,73,98,89,84,79,88,73,93,80,100
88,Discrete Structures,Ethics,Differential Calculus,Basic Grammar & Writing Composition (Nihongo),Computer Programming,Living in the IT Era,Art Appreciation,Understanding the Self,Essentials of Catholic Faith & Life,Parallel & Distributed Computing,3,2,3,2,3,2,1,1,1,3,96,87,78,99,89,79,77,86,88,92
89,Basic Grammar & Writing Composition (Nihongo),Data Structures & Algorithms,Technopreneurship,Living in the IT Era,Parallel & Distributed Computing,Art Appreciation,Discrete Structures,Understanding the Self,Physical Education 3,Readings in Philippine History,2,3,2,2,3,1,3,1,2,1,79,87,70,96,90,85,99,95,84,94
90,Differential Calculus,Technopreneurship,Parallel & Distributed Computing,Essentials of Catholic Faith & Life,Art Appreciation,Computer Programming,Discrete Structures,Basic Grammar & Writing Composition (Nihongo),Data Structures & Algorithms,Life & Works of Rizal,3,2,3,1,1,3,3,2,3,1,88,85,95,88,84,85,77,70,86,81
91,Art Appreciation,Technopreneurship,Readings in Philippine History,Living in the IT Era,Essentials of Catholic Faith & Life,Understanding the Self,Data Structures & Algorithms,Discrete Structures,Computer Programming,Life & Works of Rizal,1,2,1,2,1,1,3,3,3,1,82,71,93,93,96,91,77,89,75,91
92,Readings in Philippine History,Computer Programming,Data Structures & Algorithms,Ethics,Art Appreciation,Understanding the Self,Essentials of Catholic Faith & Life,Physical Education 3,Technopreneurship,Basic Grammar & Writing Composition (Nihongo),1,3,3,2,1,1,1,2,2,2,89,94,97,75,99,80,85,85,75,89
93,Computer Programming,Art Appreciation,Parallel & Distributed Computing,Physical Education 3,Basic Grammar & Writing Composition (Nihongo),Technopreneurship,Life & Works of Rizal,Ethics,Readings in Philippine History,Essentials of Catholic Faith & Life,3,1,3,2,2,2,1,2,1,1,84,74,77,91,71,71,85,99,97,80
94,Discrete Structures,Data Structures & Algorithms,Computer Programming,Differential Calculus,Parallel & Distributed Computing,Basic Grammar & Writing Composition (Nihongo),Technopreneurship,Art Appreciation,Understanding the Self,Living in the IT Era,3,3,3,3,3,2,2,1,1,2,73,96,88,90,88,80,75,80,95,89
